stem,source_format,stat_type,gov_org,cell,rule_id,n_tables,n_tables_pass,n_tables_fail,n_tables_abstain,file_state,c1_passed,c1_skipped
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-01,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-02,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-03,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-04,2,0,2,0,fail,False,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-05,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-06,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-07,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-08,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-09,2,0,0,2,abstain,True,True
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-10,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-11,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-12,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L1-13,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L2-01,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L2-02,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L2-03,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L2-04,2,0,0,2,abstain,True,True
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L2-05,2,0,0,2,abstain,True,True
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L2-06,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-01,2,0,2,0,fail,False,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-02,2,0,0,2,abstain,True,True
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-03,2,0,0,2,abstain,True,True
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-04,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-05,2,2,0,0,pass,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-06,2,0,0,2,abstain,True,False
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-07,2,0,0,2,abstain,True,True
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-08,2,0,0,2,abstain,True,True
00020151_000008863281,xlsx,一般統計,その他集約,一般統計×その他集約,L3-09,2,2,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-01,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-02,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-03,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-04,1,0,1,0,fail,False,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-05,1,0,1,0,fail,False,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-06,1,0,1,0,fail,False,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-07,1,0,1,0,fail,False,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-08,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-09,1,0,0,1,abstain,True,True
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-10,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-11,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-12,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L1-13,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L2-01,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L2-02,1,0,1,0,fail,False,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L2-03,1,0,1,0,fail,False,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L2-04,1,0,0,1,abstain,True,True
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L2-05,1,0,0,1,abstain,True,True
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L2-06,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-01,1,0,1,0,fail,False,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-02,1,0,0,1,abstain,True,True
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-03,1,0,0,1,abstain,True,True
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-04,1,0,1,0,fail,False,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-05,1,1,0,0,pass,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-06,1,0,0,1,abstain,True,False
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-07,1,0,0,1,abstain,True,True
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-08,1,0,0,1,abstain,True,True
00100106_000008059726,xlsx,一般統計,その他集約,一般統計×その他集約,L3-09,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-01,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-02,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-03,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-04,1,0,1,0,fail,False,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-05,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-06,1,0,1,0,fail,False,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-07,1,0,1,0,fail,False,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-08,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-09,1,0,0,1,abstain,True,True
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-10,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-11,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-12,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L1-13,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L2-01,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L2-02,1,0,0,1,abstain,True,True
00100406_000003862146,xls,加工統計,―,加工統計×―,L2-03,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L2-04,1,0,0,1,abstain,True,True
00100406_000003862146,xls,加工統計,―,加工統計×―,L2-05,1,0,0,1,abstain,True,True
00100406_000003862146,xls,加工統計,―,加工統計×―,L2-06,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-01,1,0,1,0,fail,False,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-02,1,0,0,1,abstain,True,True
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-03,1,0,0,1,abstain,True,True
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-04,1,0,1,0,fail,False,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-05,1,1,0,0,pass,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-06,1,0,0,1,abstain,True,False
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-07,1,0,0,1,abstain,True,True
00100406_000003862146,xls,加工統計,―,加工統計×―,L3-08,1,0,0,1,abstain,True,True
